Day,Month,Hour,Name,Map,h1,link,id,website,Image_Path
15,Ağustos,,Dj Hakan Küfündür İle 90lar & 2000ler Türkçe Pop Parti," 6:45 KK Ankara, Ankara ",6:45 KK Ankara Etkinlikleri,https://www.biletix.com/etkinlik-grup/297836795/TURKIYE/tr,1bf34caf-dd1a-4dca-8e6b-d42dc8dec85b,Biletix,
16,Ağustos,,Kafadar," 6:45 KK Ankara, Ankara ",6:45 KK Ankara Etkinlikleri,https://www.biletix.com/etkinlik-grup/297836795/TURKIYE/tr,1bf34caf-dd1a-4dca-8e6b-d42dc8dec85b,Biletix,
22,Ağustos,,"90lar & 2000ler Türkçe Pop Parti - Mansur Ark & Dj Akcan Akdağ
"," 6:45 KK Ankara, Ankara ",6:45 KK Ankara Etkinlikleri,https://www.biletix.com/etkinlik-grup/297836795/TURKIYE/tr,1bf34caf-dd1a-4dca-8e6b-d42dc8dec85b,Biletix,
20,Eylül,,Ayçin Asan," 6:45 KK Ankara, Ankara ",6:45 KK Ankara Etkinlikleri,https://www.biletix.com/etkinlik-grup/297836795/TURKIYE/tr,1bf34caf-dd1a-4dca-8e6b-d42dc8dec85b,Biletix,
23,Eylül,,Kilink," 6:45 KK Ankara, Ankara ",6:45 KK Ankara Etkinlikleri,https://www.biletix.com/etkinlik-grup/297836795/TURKIYE/tr,1bf34caf-dd1a-4dca-8e6b-d42dc8dec85b,Biletix,
16,Ağustos,12:00,Afacanlar Sirki Çocuk Tiyatrosu, Çukurambar Kültür ve Sanat Merkezi ,Afacanlar Sirki Çocuk Tiyatrosu,https://www.biletix.com/etkinlik/4MF85/TURKIYE/tr,f191acde-cec7-45d2-ae20-76f2200341bf,Biletix,
31,Ağustos,14:00,Afacanlar Sirki Çocuk Tiyatrosu, Çukurambar Kültür ve Sanat Merkezi ,Afacanlar Sirki Çocuk Tiyatrosu,https://www.biletix.com/etkinlik/4MF85/TURKIYE/tr,f191acde-cec7-45d2-ae20-76f2200341bf,Biletix,
16,Ağustos,13:30,Bilim Carnavalı AKM, Çukurambar Kültür ve Sanat Merkezi ,Bilim Carnavalı AKM,https://www.biletix.com/etkinlik/4MFI2/TURKIYE/tr,0a73af20-0880-4511-ba38-82e076df76bc,Biletix,
30,Ağustos,18:00,Bilim Carnavalı AKM, Çukurambar Kültür ve Sanat Merkezi ,Bilim Carnavalı AKM,https://www.biletix.com/etkinlik/4MFI2/TURKIYE/tr,0a73af20-0880-4511-ba38-82e076df76bc,Biletix,
16,Ağustos,13:30,Masterpiece Ankara Resim - Caretta Caretta, Masterpiece Ankara ,Masterpiece Ankara Resim - Caretta Caretta,https://www.biletix.com/etkinlik/41497/TURKIYE/tr,bf7e8d7f-151c-4ec3-b71e-ab5caffa4763,Biletix,
16,Ağustos,19:00,Masterpiece Ankara Resim - Caretta Caretta, Masterpiece Ankara ,Masterpiece Ankara Resim - Caretta Caretta,https://www.biletix.com/etkinlik/41497/TURKIYE/tr,bf7e8d7f-151c-4ec3-b71e-ab5caffa4763,Biletix,
